id,issue,evidence,evidence_probability,gain_metric,estimated_gain_value,remediation_class,affected_files,confidence,estimated_gain_score,estimated_gain,effort_kloc,priority,priority_formula,difficulty_basis,status,difficulty
feature_verdict::away_bat_woba,Feature 'away_bat_woba' verdict INVESTIGATE,"rank stability 0.455 < 0.5 across 4 walk-forward folds (fold ranks [21, 32, 25, 8]), mean_rank 7.5/38, agreement Low",0.4695,log_loss,0.00128,retrain,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0019,Low,0.764,0.11,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
feature_verdict::home_bb_rate,Feature 'home_bb_rate' verdict INVESTIGATE,"rank stability 0.3583 < 0.5 across 4 walk-forward folds (fold ranks [11, 9, 35, 16]), mean_rank 22.5/38, agreement Medium",0.7484,log_loss,0.000711,retrain,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.001,Low,0.764,0.1,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
feature_verdict::home_bat_woba,Feature 'home_bat_woba' verdict INVESTIGATE,"rank stability 0.2237 < 0.5 across 4 walk-forward folds (fold ranks [7, 37, 7, 12]), mean_rank 13.25/38, agreement Medium",0.8386,log_loss,0.000544,retrain,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0008,Low,0.764,0.09,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
feature_verdict::home_xwoba_against,Feature 'home_xwoba_against' verdict INVESTIGATE,"rank stability 0.4642 < 0.5 across 4 walk-forward folds (fold ranks [33, 12, 32, 30]), mean_rank 27.0/38, agreement Medium",0.7838,log_loss,0.000512,retrain,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0007,Low,0.764,0.08,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
feature_verdict::home_is_lefty,Feature 'home_is_lefty' verdict REMOVE,"mean_rank 29.5/38 is bottom-25%, stability 0.8409 ≥ 0.7, method agreement High, and a real walk-forward ablation retrain over 4 folds changed log loss by -0.000394 (no regression)",0.9459,log_loss,0.000394,feature_engineering,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0006,Low,0.764,0.07,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
feature_verdict::home_days_rest,Feature 'home_days_rest' verdict REMOVE,"mean_rank 30.5/38 is bottom-25%, stability 0.8409 ≥ 0.7, method agreement High, and a real walk-forward ablation retrain over 4 folds changed log loss by -0.000394 (no regression)",0.9459,log_loss,0.000394,feature_engineering,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0006,Low,0.764,0.07,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
feature_verdict::away_bb_rate,Feature 'away_bb_rate' verdict INVESTIGATE,"rank stability 0.4229 < 0.5 across 4 walk-forward folds (fold ranks [34, 15, 18, 9]), mean_rank 17.75/38, agreement Medium",0.6837,log_loss,0.000442,retrain,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0006,Low,0.764,0.06,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
feature_verdict::away_fb_velo,Feature 'away_fb_velo' verdict INVESTIGATE,"rank stability 0.4941 < 0.5 across 4 walk-forward folds (fold ranks [17, 16, 10, 32]), mean_rank 23.0/38, agreement Medium",0.793,log_loss,0.000395,retrain,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0006,Low,0.764,0.06,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
feature_verdict::away_fip,Feature 'away_fip' verdict INVESTIGATE,"rank stability 0.2415 < 0.5 across 4 walk-forward folds (fold ranks [6, 36, 20, 7]), mean_rank 25.5/38, agreement Low",0.2973,log_loss,0.00112,retrain,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0016,Low,0.764,0.06,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
feature_verdict::home_L10_rs,Feature 'home_L10_rs' verdict INVESTIGATE,"rank stability 0.2933 < 0.5 across 4 walk-forward folds (fold ranks [4, 29, 27, 33]), mean_rank 29.75/38, agreement Low",0.3243,log_loss,0.000987,retrain,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0014,Low,0.764,0.06,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
feature_verdict::park_factor,Feature 'park_factor' verdict INVESTIGATE,"rank stability 0.3058 < 0.5 across 4 walk-forward folds (fold ranks [29, 34, 5, 27]), mean_rank 18.75/38, agreement Low",0.4808,log_loss,0.000276,retrain,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0004,Low,0.764,0.03,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
feature_verdict::wind_out_factor,Feature 'wind_out_factor' verdict INVESTIGATE,"rank stability 0.3551 < 0.5 across 4 walk-forward folds (fold ranks [37, 35, 31, 11]), mean_rank 13.0/38, agreement Low",0.2628,log_loss,0.000227,retrain,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0003,Low,0.764,0.01,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
feature_verdict::away_xwoba_against,Feature 'away_xwoba_against' verdict RE-ENCODE,"point-biserial correlation with outcome +0.0683 exceeds 0.05 but mean_rank 19.75/38 sits below the median, so the raw encoding carries signal the model is not extracting (ablation delta -0.000149)",0.4808,log_loss,0.000149,feature_engineering,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0002,Low,0.764,0.01,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
feature_verdict::wind_mph,Feature 'wind_mph' verdict INVESTIGATE,"rank stability 0.0966 < 0.5 across 4 walk-forward folds (fold ranks [5, 3, 38, 6]), mean_rank 11.5/38, agreement Low",0.1505,log_loss,0.000148,retrain,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0002,Low,0.764,0.0,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
feature_verdict::home_fb_velo,Feature 'home_fb_velo' verdict INVESTIGATE,"rank stability 0.194 < 0.5 across 4 walk-forward folds (fold ranks [8, 2, 12, 36]), mean_rank 13.0/38, agreement Low",0.1708,log_loss,7.5e-05,retrain,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0001,Low,0.764,0.0,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
feature_verdict::is_coors,Feature 'is_coors' verdict REMOVE,"mean_rank 38.0/38 is bottom-25%, stability 0.8713 ≥ 0.7, method agreement High, and a real walk-forward ablation retrain over 4 folds changed log loss by +0.000000 (no regression)",1.0,log_loss,0.0,feature_engineering,"['pipeline/feature_store.py', 'pipeline/train_common.py']",High,0.0,Low,0.764,0.0,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
calibration::0.30-0.40,Calibration bucket 0.30-0.40 miscalibrated,"Refit the probability calibrator with additional resolution in 0.30-0.40: predicted 0.3782 versus actual 0.4375 over n=128 (Wilson 95% CI 0.3546–0.5240, predicted rate stays inside the CI)",0.0,ece,0.009325,retrain,"['pipeline/calibration_common.py', 'pipeline/train_moneyline.py']",Low,0.5112,Medium,0.221,0.0,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","221 non-blank source lines measured across 2 file(s): pipeline/calibration_common.py (120 lines), pipeline/train_moneyline.py (101 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
calibration::0.40-0.60,Calibration bucket 0.40-0.60 miscalibrated,"Refit the probability calibrator with additional resolution in 0.40-0.60: predicted 0.4520 versus actual 0.4534 over n=686 (Wilson 95% CI 0.4165–0.4908, predicted rate stays inside the CI)",0.0,ece,0.00118,retrain,"['pipeline/calibration_common.py', 'pipeline/train_moneyline.py']",Low,0.0647,Low,0.221,0.0,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","221 non-blank source lines measured across 2 file(s): pipeline/calibration_common.py (120 lines), pipeline/train_moneyline.py (101 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
