date,matchup,home_team,away_team,market,pick,model_prob,odds,ev_percentage,confidence
2026-09-18 00:00:00,DET @ TOR,TOR,DET,MONEYLINE,HOME,0.554,1.9,5.3,0.55
2026-09-18 00:00:00,KC @ PIT,PIT,KC,MONEYLINE,HOME,0.836,1.9,58.8,0.84
2026-09-19 00:00:00,LAA @ CWS,CWS,LAA,MONEYLINE,HOME,0.779,1.9,47.9,0.78
2026-09-19 00:00:00,ATL @ WSH,WSH,ATL,MONEYLINE,HOME,0.728,1.9,38.3,0.73
2026-09-19 00:00:00,KC @ ATL,ATL,KC,MONEYLINE,HOME,0.951,1.9,80.7,0.95
2026-09-19 00:00:00,WSH @ MIA,MIA,WSH,MONEYLINE,HOME,0.994,1.9,88.8,0.99
2026-09-19 00:00:00,MIN @ PIT,PIT,MIN,MONEYLINE,HOME,0.908,1.9,72.5,0.91
2026-09-19 00:00:00,KC @ PIT,PIT,KC,MONEYLINE,HOME,0.569,1.9,8.2,0.57
2026-09-19 00:00:00,ATL @ HOU,HOU,ATL,MONEYLINE,HOME,0.837,1.9,58.9,0.84
2026-09-19 00:00:00,TOR @ WSH,WSH,TOR,MONEYLINE,HOME,0.796,1.9,51.3,0.8
2026-09-19 00:00:00,SD @ MIN,MIN,SD,MONEYLINE,HOME,0.952,1.9,80.9,0.95
2026-09-19 00:00:00,MIA @ CIN,CIN,MIA,MONEYLINE,HOME,0.657,1.9,24.8,0.66
2026-09-19 00:00:00,COL @ WSH,WSH,COL,MONEYLINE,HOME,0.853,1.9,62.1,0.85
2026-09-20 00:00:00,CLE @ PIT,PIT,CLE,MONEYLINE,HOME,0.849,1.9,61.2,0.85
2026-09-20 00:00:00,SD @ NYM,NYM,SD,MONEYLINE,HOME,0.92,1.9,74.9,0.92
2026-09-20 00:00:00,NYM @ SEA,SEA,NYM,MONEYLINE,HOME,0.909,1.9,72.8,0.91
2026-09-20 00:00:00,WSH @ DET,DET,WSH,MONEYLINE,HOME,0.792,1.9,50.4,0.79
2026-09-20 00:00:00,SD @ STL,STL,SD,MONEYLINE,HOME,0.974,1.9,85.1,0.97
2026-09-21 00:00:00,CIN @ TOR,TOR,CIN,MONEYLINE,HOME,0.655,1.9,24.4,0.65
2026-09-21 00:00:00,HOU @ MIA,MIA,HOU,MONEYLINE,HOME,0.943,1.9,79.2,0.94
2026-09-21 00:00:00,LAA @ CWS,CWS,LAA,MONEYLINE,HOME,0.799,1.9,51.9,0.8
2026-09-21 00:00:00,MIN @ BAL,BAL,MIN,MONEYLINE,HOME,0.58,1.9,10.1,0.58
2026-09-21 00:00:00,DET @ MIA,MIA,DET,MONEYLINE,HOME,0.983,1.9,86.8,0.98
2026-09-22 00:00:00,SF @ STL,STL,SF,MONEYLINE,HOME,0.829,1.9,57.4,0.83
2026-09-22 00:00:00,LAD @ MIA,MIA,LAD,MONEYLINE,HOME,0.878,1.9,66.9,0.88
2026-09-22 00:00:00,WSH @ HOU,HOU,WSH,MONEYLINE,HOME,0.744,1.9,41.4,0.74
2026-09-22 00:00:00,ATL @ CIN,CIN,ATL,MONEYLINE,HOME,0.835,1.9,58.7,0.84
2026-09-22 00:00:00,SD @ PHI,PHI,SD,MONEYLINE,HOME,0.992,1.9,88.5,0.99
2026-09-22 00:00:00,HOU @ CIN,CIN,HOU,MONEYLINE,HOME,0.585,1.9,11.1,0.58
2026-09-23 00:00:00,MIN @ CWS,CWS,MIN,MONEYLINE,HOME,0.567,1.9,7.7,0.57
2026-09-23 00:00:00,TOR @ BOS,BOS,TOR,MONEYLINE,HOME,0.66,1.9,25.3,0.66
2026-09-23 00:00:00,BAL @ WSH,WSH,BAL,MONEYLINE,HOME,0.674,1.9,28.0,0.67
2026-09-24 00:00:00,DET @ ATL,ATL,DET,MONEYLINE,HOME,0.804,1.9,52.7,0.8
2026-09-24 00:00:00,LAD @ KC,KC,LAD,MONEYLINE,HOME,0.568,1.9,7.9,0.57
2026-09-24 00:00:00,OAK @ MIA,MIA,OAK,MONEYLINE,HOME,0.88,1.9,67.2,0.88
2026-09-24 00:00:00,CWS @ DET,DET,CWS,MONEYLINE,HOME,0.712,1.9,35.3,0.71
2026-09-25 00:00:00,HOU @ MIA,MIA,HOU,MONEYLINE,HOME,0.926,1.9,76.0,0.93
2026-09-25 00:00:00,SD @ SEA,SEA,SD,MONEYLINE,HOME,0.917,1.9,74.2,0.92
2026-09-25 00:00:00,SD @ COL,COL,SD,MONEYLINE,HOME,0.972,1.9,84.6,0.97
2026-09-25 00:00:00,NYY @ COL,COL,NYY,MONEYLINE,HOME,0.959,1.9,82.2,0.96
2026-09-25 00:00:00,OAK @ CIN,CIN,OAK,MONEYLINE,HOME,0.597,1.9,13.5,0.6
2026-09-26 00:00:00,ATL @ BOS,BOS,ATL,MONEYLINE,HOME,0.58,1.9,10.1,0.58
2026-09-26 00:00:00,SD @ NYY,NYY,SD,MONEYLINE,HOME,0.902,1.9,71.4,0.9
2026-09-27 00:00:00,SEA @ PHI,PHI,SEA,MONEYLINE,HOME,0.891,1.9,69.3,0.89
2026-09-27 00:00:00,COL @ DET,DET,COL,MONEYLINE,HOME,0.608,1.9,15.5,0.61
2026-09-27 00:00:00,ARZ @ PIT,PIT,ARZ,MONEYLINE,HOME,0.818,1.9,55.5,0.82
2026-09-28 00:00:00,CWS @ WSH,WSH,CWS,MONEYLINE,HOME,0.658,1.9,25.0,0.66
2026-09-28 00:00:00,WSH @ CIN,CIN,WSH,MONEYLINE,HOME,0.772,1.9,46.7,0.77
2026-09-28 00:00:00,LAA @ OAK,OAK,LAA,MONEYLINE,HOME,0.583,1.9,10.8,0.58
2026-09-29 00:00:00,TOR @ MIL,MIL,TOR,MONEYLINE,HOME,0.654,1.9,24.3,0.65
2026-09-29 00:00:00,ATL @ TB,TB,ATL,MONEYLINE,HOME,0.744,1.9,41.3,0.74
2026-09-29 00:00:00,HOU @ DET,DET,HOU,MONEYLINE,HOME,0.674,1.9,28.1,0.67
2026-09-30 00:00:00,NYM @ ATL,ATL,NYM,MONEYLINE,HOME,0.829,1.9,57.5,0.83
2026-09-30 00:00:00,HOU @ OAK,OAK,HOU,MONEYLINE,HOME,0.629,1.9,19.5,0.63
2026-09-30 00:00:00,NYM @ NYY,NYY,NYM,MONEYLINE,HOME,0.608,1.9,15.6,0.61
2026-10-01 00:00:00,TEX @ LAD,LAD,TEX,MONEYLINE,HOME,0.572,1.9,8.7,0.57
2026-10-01 00:00:00,MIN @ LAD,LAD,MIN,MONEYLINE,HOME,0.614,1.9,16.6,0.61
2026-10-01 00:00:00,SD @ KC,KC,SD,MONEYLINE,HOME,0.937,1.9,78.1,0.94
2026-10-01 00:00:00,SD @ WSH,WSH,SD,MONEYLINE,HOME,0.602,1.9,14.4,0.6
2026-10-01 00:00:00,MIL @ DET,DET,MIL,MONEYLINE,HOME,0.624,1.9,18.7,0.62
2026-10-01 00:00:00,CWS @ CHC,CHC,CWS,MONEYLINE,HOME,0.639,1.9,21.5,0.64
2026-10-01 00:00:00,OAK @ SD,SD,OAK,MONEYLINE,HOME,0.564,1.9,7.1,0.56
2026-10-02 00:00:00,WSH @ DET,DET,WSH,MONEYLINE,HOME,0.694,1.9,31.8,0.69
2026-10-02 00:00:00,SD @ CHC,CHC,SD,MONEYLINE,HOME,0.587,1.9,11.5,0.59
2026-10-03 00:00:00,WSH @ BOS,BOS,WSH,MONEYLINE,HOME,0.815,1.9,54.8,0.81
2026-10-03 00:00:00,TOR @ LAD,LAD,TOR,MONEYLINE,HOME,0.816,1.9,55.0,0.82
2026-10-03 00:00:00,COL @ NYY,NYY,COL,MONEYLINE,HOME,0.557,1.9,5.9,0.56
2026-10-03 00:00:00,HOU @ ATL,ATL,HOU,MONEYLINE,HOME,0.641,1.9,21.8,0.64
