date,game_id,home_team,away_team,model_probability,odds,ev_percentage,confidence
2026-09-18 00:00:00,2620,ARZ,NYM,0.714,1.9,35.7,0.71
2026-09-18 00:00:00,2622,SEA,TOR,0.572,1.9,8.7,0.57
2026-09-18 00:00:00,2624,PIT,KC,0.888,1.9,68.8,0.89
2026-09-19 00:00:00,2626,CWS,LAA,0.791,1.9,50.2,0.79
2026-09-19 00:00:00,2627,WSH,ATL,0.848,1.9,61.1,0.85
2026-09-19 00:00:00,2628,ATL,KC,0.844,1.9,60.4,0.84
2026-09-19 00:00:00,2630,MIA,WSH,0.988,1.9,87.7,0.99
2026-09-19 00:00:00,2631,PIT,MIN,0.903,1.9,71.7,0.9
2026-09-19 00:00:00,2632,PIT,KC,0.577,1.9,9.7,0.58
2026-09-19 00:00:00,2633,HOU,ATL,0.856,1.9,62.7,0.86
2026-09-19 00:00:00,2635,WSH,TOR,0.664,1.9,26.1,0.66
2026-09-19 00:00:00,2636,MIN,SD,0.978,1.9,85.8,0.98
2026-09-19 00:00:00,2637,CIN,MIA,0.735,1.9,39.7,0.74
2026-09-19 00:00:00,2639,WSH,COL,0.902,1.9,71.3,0.9
2026-09-20 00:00:00,2642,PIT,CLE,0.727,1.9,38.1,0.73
2026-09-20 00:00:00,2643,NYM,SD,0.977,1.9,85.7,0.98
2026-09-20 00:00:00,2645,SEA,NYM,0.825,1.9,56.7,0.82
2026-09-20 00:00:00,2647,DET,WSH,0.811,1.9,54.1,0.81
2026-09-20 00:00:00,2650,HOU,TB,0.598,1.9,13.7,0.6
2026-09-20 00:00:00,2653,STL,SD,0.923,1.9,75.3,0.92
2026-09-21 00:00:00,2658,MIA,HOU,0.945,1.9,79.5,0.94
2026-09-21 00:00:00,2660,CWS,LAA,0.553,1.9,5.1,0.55
2026-09-21 00:00:00,2663,MIA,DET,0.949,1.9,80.2,0.95
2026-09-22 00:00:00,2670,STL,SF,0.646,1.9,22.6,0.65
2026-09-22 00:00:00,2672,MIA,LAD,0.888,1.9,68.7,0.89
2026-09-22 00:00:00,2678,CIN,ATL,0.859,1.9,63.2,0.86
2026-09-22 00:00:00,2681,PHI,SD,0.995,1.9,89.0,0.99
2026-09-23 00:00:00,2693,CWS,MIN,0.648,1.9,23.0,0.65
2026-09-23 00:00:00,2694,BOS,TOR,0.561,1.9,6.5,0.56
2026-09-23 00:00:00,2698,CHC,CIN,0.636,1.9,20.8,0.64
2026-09-23 00:00:00,2699,CIN,NYM,0.605,1.9,14.9,0.6
2026-09-24 00:00:00,2702,ATL,DET,0.799,1.9,51.7,0.8
2026-09-24 00:00:00,2710,MIA,OAK,0.939,1.9,78.3,0.94
2026-09-24 00:00:00,2713,DET,CWS,0.702,1.9,33.4,0.7
2026-09-25 00:00:00,2718,MIA,HOU,0.923,1.9,75.4,0.92
2026-09-25 00:00:00,2719,SEA,SD,0.979,1.9,86.0,0.98
2026-09-25 00:00:00,2722,COL,SD,0.964,1.9,83.1,0.96
2026-09-25 00:00:00,2725,COL,NYY,0.955,1.9,81.4,0.95
2026-09-25 00:00:00,2726,CIN,OAK,0.643,1.9,22.2,0.64
2026-09-26 00:00:00,2737,NYY,SD,0.941,1.9,78.7,0.94
2026-09-27 00:00:00,2745,CLE,CWS,0.555,1.9,5.4,0.55
2026-09-27 00:00:00,2753,PHI,SEA,0.842,1.9,60.0,0.84
2026-09-27 00:00:00,2757,PIT,ARZ,0.651,1.9,23.7,0.65
2026-09-28 00:00:00,2764,WSH,CWS,0.694,1.9,31.9,0.69
2026-09-28 00:00:00,2773,CIN,WSH,0.718,1.9,36.4,0.72
2026-09-29 00:00:00,2777,MIL,TOR,0.758,1.9,44.0,0.76
2026-09-29 00:00:00,2779,TB,ATL,0.764,1.9,45.2,0.76
2026-09-29 00:00:00,2787,DET,HOU,0.682,1.9,29.5,0.68
2026-09-30 00:00:00,2790,ATL,NYM,0.742,1.9,41.0,0.74
2026-09-30 00:00:00,2791,OAK,HOU,0.622,1.9,18.1,0.62
2026-09-30 00:00:00,2803,NYY,NYM,0.567,1.9,7.8,0.57
2026-10-01 00:00:00,2806,LAD,MIN,0.694,1.9,31.9,0.69
2026-10-01 00:00:00,2811,DET,MIL,0.681,1.9,29.5,0.68
2026-10-02 00:00:00,2828,DET,WSH,0.745,1.9,41.5,0.74
2026-10-02 00:00:00,2830,CHC,SD,0.636,1.9,20.8,0.64
2026-10-03 00:00:00,2839,HOU,MIN,0.657,1.9,24.9,0.66
2026-10-03 00:00:00,2842,BOS,WSH,0.794,1.9,50.8,0.79
2026-10-03 00:00:00,2843,LAD,TOR,0.752,1.9,42.9,0.75
2026-10-03 00:00:00,2849,ATL,HOU,0.727,1.9,38.1,0.73
